id,headline,summary
31,"Alexander Graham Bell | Biography, Education, Family, Telephone, Inventions, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiakFVX3lxTE1YZVo0d1VYOGxHMnRfdW9nX2tBZGFNOTZOUFpLMzJjS3pqOHdRZmkzZnoyNURiTTdPVkd0cEc1TkxXWVo1TUtwRXYxYnpWcFM1XzE3QWo3Ti11WlV3SUdKck13OE9TRDBSWUE?oc=5"" target=""_blank"">Alexander Graham Bell | Biography, Education, Family, Telephone, Inventions, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
32,"Edward Snowden | Education, Biography, Russia, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiYEFVX3lxTE5TWHJkMHJyUDBYbmZFOEFpRGFoaWt2U0MxWnUzU09hWmFhNEgyNk5jeGRfZHBOUGhzcm9qTE9HMUw4QmZGdVlWZERKckdoS2FrakF5cTV4Ym1HaUdyMUtfXw?oc=5"" target=""_blank"">Edward Snowden | Education, Biography, Russia, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
33,"Arundhati Roy | Biography, Books, Awards, Pandemic Is a Portal, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTFBlcWtGdUhkcWhMRktDcU1XQjVIdDVYSWpZb01tSXpNTU9CanRjUGhPMVRsQ2NHV0FGdEN5ODZySkV6NXFMbjN0VUpiNTVSaHJDLVA2ektmZ1h2a3NlQ0Mw?oc=5"" target=""_blank"">Arundhati Roy | Biography, Books, Awards, Pandemic Is a Portal, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
34,"Toni Morrison | Biography, Books, Beloved, The Bluest Eye, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTE4zNTd0SHhPS3g2bzNOeWxmS0ZZQW1uaFdsb0NGZXFIUkFWcUZZX0lnNEFnXzh1Z2dCVlBFcUluTHdMdEJ3S3FYeFUtQjBEWWtFQU1SVlYybDhicHhoa3VR?oc=5"" target=""_blank"">Toni Morrison | Biography, Books, Beloved, The Bluest Eye, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
35,WHO Director-General - Biography - World Health Organization (WHO),"<a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTFBHcUE4TjBQb082emxtd1AxQXVXeC1JT3ZEbWZOR0F4OG9UNzBxdG9LRjQxYUduaXZ3WjlBVG05bHZ1ZUFKU2VTR09tNEY3TFVKcGJiOG5RS2xpeFpnR0pORDBiNmIxdHNORXUxX3NHSmE?oc=5"" target=""_blank"">WHO Director-General - Biography</a>&nbsp;&nbsp;<font color=""#6f6f6f"">World Health Organization (WHO)</font>"
36,"If Google wins AI race, Nvidia is 'in trouble,' says author of Jensen Huang biography - Yahoo Finance","<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQNmh1ZjVyTEdWYXNuS2YzTHh4UTZkamV3VnIwNktaeXF4ZW1PUmJrbjRTanhhbmhNbXV6ZnIwWHFhTFhUYlQ1cXdWV0tldnFLN3lNd2VJWlZhaXRHbUQ5QjlDbjRKZXlaYXhCYS1fMTI2QVFuSVA3VnN3VktXVzczeFhkYmRZd29jSDBVY3JvQ0tVSlFsY0xhbzV6NkkxZU44dVBJMzB5TGo4MmN5UGxtUzltX3EwRXhRa0hxN1RZRFJfWXY0ZkE?oc=5"" target=""_blank"">If Google wins AI race, Nvidia is 'in trouble,' says author of Jensen Huang biography</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>"
37,"William Shakespeare | Plays, Poems, Biography, Quotes, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1BUDZIYUZPbTJXdUotLTRQblFOUmxoYWNtMldGc0VwTUc2SnhCZTF3VklfVWxFVGtuaEQ1TmlYY1VKTWZkcnJ0bFRmYVA2bFZfa3BSYzQ4cFNWcFRKTFVXVlBUdGdPTzQ?oc=5"" target=""_blank"">William Shakespeare | Plays, Poems, Biography, Quotes, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
38,James Baldwin - Britannica,"<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTFBCUGtnc3F5enROT3Vrc1I5QkRCRG5BR19Xby1lbzhuTHQ5WHhrSlh1X0pHa3ltcUY5cElwRHJCS3FONURGblNMU0thTUNnNUp2WER5cGtseEdnM1pZZXRV?oc=5"" target=""_blank"">James Baldwin</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
39,Galileo - Britannica,"<a href=""https://news.google.com/rss/articles/CBMiYkFVX3lxTFAwd2RkMV9WZUlSY2c3U2x6OEY4RG1KT1R5SDJTR3dPTVpmOFU0TFE2MlI3UEtmYlo5R0NRcTdfcHp6UG8wWnh0SEJZUnlSOEpjeTZuNTZqbmtZMkRMWE55S2Jn?oc=5"" target=""_blank"">Galileo</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
40,Eileen Higgins Biography: Miami Elects First Woman and Democrat Mayor After 28 Years! - Jagran Josh,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxNWWZVMERUaVQ2WE91NHFYaEUzOEFETHN2aFpNRTV0di0xQk9zVFg1TnV6TUNJYUdiNE4zN1pzcnlvOFdHVmplcTQ5YmVRTFlCUGRPaWZxdVEwcTZVemE5UVUtMEZrR3liZnotVWJzUW1teDNSZmQ0Z0xQS1ktT3I2MTRaXzJITUJGVW16RVNNT0pNOURmZjFKVlNQVkZFcEIw?oc=5"" target=""_blank"">Eileen Higgins Biography: Miami Elects First Woman and Democrat Mayor After 28 Years!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran Josh</font>"
